vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,"2019-11-21T01:53:19,000","2019-11-21T02:18:39,000",5,9.44,1,N,264,264,2,31,0.5,0.5,0,0,0.3,32.3
2,"2019-02-28T07:41:58,000","2019-02-28T07:55:33,000",5,4.33,1,N,186,238,2,15,1,0.5,0,0,0.3,16.8
2,"2019-02-08T17:35:27,000","2019-02-09T00:53:56,000",5,2.61,1,N,70,129,2,12,1,0.5,0,0,0.3,13.8
2,"2019-01-16T15:05:00,000","2019-01-16T15:59:50,000",5,16.78,2,N,132,164,1,52,4.5,0.5,11,5.76,0.3,74.06
2,"2018-12-31T23:59:00,000","2019-01-01T00:23:24,000",5,3.59,1,N,161,68,2,17,0.5,0.5,0,0,0.3,18.3
2,"2018-12-31T23:58:46,000","2019-01-01T00:27:15,000",5,1.53,1,N,107,90,2,18,0.5,0.5,0,0,0.3,19.3
2,"2018-12-31T23:56:42,000","2019-01-01T01:09:45,000",5,10.22,1,N,249,129,2,48,0.5,0.5,0,0,0.3,49.3
2,"2018-12-31T23:53:33,000","2019-01-01T00:05:17,000",5,2.82,1,N,151,237,2,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T23:52:11,000","2019-01-01T00:09:32,000",6,1.93,1,N,186,163,2,12,0.5,0.5,0,0,0.3,13.3
2,"2018-12-31T23:51:24,000","2019-01-01T00:10:37,000",5,11.05,1,N,168,259,2,31,0.5,0.5,0,0,0.3,32.3
2,"2018-12-31T23:51:03,000","2018-12-31T23:59:50,000",6,2.68,1,N,142,166,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T23:47:53,000","2019-01-01T00:12:13,000",5,3.58,1,N,163,113,2,17,0.5,0.5,0,0,0.3,18.3
2,"2018-12-31T23:46:43,000","2018-12-31T23:57:50,000",6,3.11,1,N,144,17,2,12,0.5,0.5,0,0,0.3,13.3
2,"2018-12-31T23:44:44,000","2019-01-01T00:08:56,000",6,2.79,1,N,238,48,2,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T23:44:22,000","2018-12-31T23:56:38,000",5,2.73,1,N,233,249,2,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T23:44:00,000","2018-12-31T23:58:51,000",5,1.48,1,N,239,239,2,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T23:42:04,000","2018-12-31T23:57:52,000",5,3.02,1,N,231,234,2,13,0.5,0.5,0,0,0.3,14.3
2,"2018-12-31T23:40:25,000","2019-01-01T00:22:40,000",5,20.45,1,N,263,21,2,56,0.5,0.5,0,5.76,0.3,63.06
2,"2018-12-31T23:39:47,000","2019-01-01T00:01:08,000",6,7.53,1,N,233,119,2,24,0.5,0.5,0,0,0.3,25.3
2,"2018-12-31T23:35:29,000","2019-01-01T00:03:34,000",6,13.16,1,N,229,130,2,39,0.5,0.5,0,0,0.3,40.3
2,"2018-12-31T23:35:08,000","2018-12-31T23:51:49,000",6,4.63,1,N,164,74,2,16,0.5,0.5,0,0,0.3,17.3
